Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count,Reviews,Has_Website,Has_Phone
Nashik Road,tax consultant,Amit R. Dandgavhal & Associates,089831 51806,,5.0,6.0,6,False,True
Nashik Road,tax consultant,PRADEEP B PARDESHI TAX CONSULTANT,095958 88662,,5.0,2.0,2,False,True
Nashik Road,tax consultant,CHETAN YEOLE & ASSOCIATES- TAX CONSULTANT,091300 02013,,5.0,2.0,2,False,True
Nashik Road,tax consultant,Abhay Gujar & Associates,083290 60275,,5.0,4.0,4,False,True
Nashik Road,tax consultant,Easy Tax Consultancy,082375 97032,,5.0,11.0,11,False,True
Nashik Road,tax consultant,Imran B Shaikh Tax Consultant,092092 00786,,5.0,1.0,1,False,True
Nashik Road,tax consultant,M. M. Unhale GST & Income tax consultancy,088051 04405,,5.0,8.0,8,False,True
Nashik Road,tax consultant,GANESH TAKEKAR,094213 49748,,5.0,1.0,1,False,True
Nashik Road,tax consultant,Nitesh Khanapure (Tax Consultant),098600 65514,,5.0,8.0,8,False,True
Nashik Road,tax consultant,Kurhade & Associates,098607 77853,,5.0,1.0,1,False,True
Nashik Road,tax consultant,Elite Consultancy,098909 43297,,5.0,2.0,2,False,True
Nashik Road,chartered accountant,VIPUL PALOD AND ASSOCIATES,099600 04888,,5.0,1.0,1,False,True
Nashik Road,chartered accountant,Tiwari Parmar & Associates Chartered Accountants,077690 97733,,5.0,2.0,2,False,True
Nashik Road,chartered accountant,CA Sapna Javeri,091685 20077,,5.0,4.0,4,False,True
Nashik Road,chartered accountant,B S V D & Associates,077568 63535,,5.0,3.0,3,False,True
Nashik Road,chartered accountant,Aniket V Mali & Associates,097303 39579,,5.0,7.0,7,False,True
Nashik Road,chartered accountant,G P W & Associates Chartered Accountants,0253 359 1247,,5.0,7.0,7,False,True
Nashik Road,chartered accountant,M A S M A & Associates Chartered Accountants,091753 83467,,5.0,2.0,2,False,True
Nashik Road,chartered accountant,Akshay Picha & Associates,082082 84722,,5.0,5.0,5,False,True
Nashik Road,chartered accountant,CA Shivdas Avhad & Company,077200 31941,,5.0,1.0,1,False,True
Nashik Road,chartered accountant,Nishant Kulkarni & Associates,099751 12515,,5.0,7.0,7,False,True
Nashik Road,fine dining restaurant,H M Kitchen - Best fast food,093726 42523,,5.0,5.0,5,False,True
Nashik Road,martial arts academy,S S Karate Club,075076 92220,,5.0,12.0,12,False,True
Nashik Road,yoga studio,Namo Yoga Nashik,0788 759 3333,,5.0,28.0,28,False,True
Nashik Road,yoga studio,Yoga Studio,099227 10023,,5.0,35.0,35,False,True
Nashik Road,yoga studio,Fitness And Wellness Centre,096654 91868,,5.0,8.0,8,False,True
Nashik Road,yoga studio,Offline yoga classes,082085 79637,,5.0,2.0,2,False,True
Nashik Road,yoga studio,Isha's yoga studio,075888 28123,,5.0,36.0,36,False,True
Nashik Road,yoga studio,Aashirwad Yoga Classes,090281 77826,,5.0,9.0,9,False,True
Nashik Road,yoga studio,Fitness and Wellness Center,097634 07212,,5.0,3.0,3,False,True
Nashik Road,yoga studio,Shri Sarvopchar Nilayam Nashik,087672 48815,,5.0,1.0,1,False,True
Nashik Road,yoga studio,Sri Sri Yoga Classes,088067 46174,,5.0,22.0,22,False,True
Nashik Road,yoga studio,Asanam Yoga & Zumba Classes,094054 52798,,5.0,4.0,4,False,True
Nashik Road,specialty coffee shop,Lucky'z Cafe,099703 49007,,5.0,4.0,4,False,True
