Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count,Reviews,Has_Website,Has_Phone
Nashik Road,premium bakery,Miracle Bake Studio,096732 20593,,5.0,22.0,22,False,True
Nashik Road,designer boutique,Saksh fashion studio,088300 86377,,4.6,22.0,22,False,True
Nashik Road,boutique architect,Aarambha Design Studio,095528 12690,,5.0,21.0,21,False,True
Nashik Road,physiotherapist,"Dr. Deepa Matwad | Physiotherapy Clinic, Nashik |",077410 58101,,5.0,21.0,21,False,True
Nashik Road,bridal makeup studio,"Mugdha Nx Bridal Studio ,Saloon & Academy",0253 231 8204,,4.7,20.0,20,False,True
Nashik Road,dentist,Bhushan Sonawane's Mauli Clinic,094204 57020,,3.9,20.0,20,False,True
Nashik Road,physiotherapist,Relief physiotherapy clinic,086230 54785,,5.0,20.0,20,False,True
Nashik Road,tattoo studio,Jagtap Brother's Tattoo and Art studio,092842 34855,,4.9,20.0,20,False,True
Nashik Road,interior designer,Baasuri design studio,070830 64377,,5.0,20.0,20,False,True
Nashik Road,homeopathy clinic,Krushnarpan Homoeopathic Clinic,097304 36163,,4.9,19.0,19,False,True
Nashik Road,physiotherapist,Aarogyam Physiotherapy And Fitness Clinic,099671 03250,,4.9,19.0,19,False,True
Nashik Road,designer boutique,Dubai King Fashion Studio,077579 67584,,4.5,19.0,19,False,True
Nashik Road,designer boutique,Anvis Boutique,086689 20766,,5.0,18.0,18,False,True
Nashik Road,designer boutique,Ovi's Boutique,075885 57959,,5.0,18.0,18,False,True
Nashik Road,bridal makeup studio,Elegance Beauty Studio,097307 80958,,4.8,18.0,18,False,True
Nashik Road,dentist,Dr.Sharan's Dental Clinic,075887 04158,,4.9,17.0,17,False,True
Nashik Road,physiotherapist,Ace Rehab Physiotherapy Clinic,091305 67670,,4.7,17.0,17,False,True
Nashik Road,interior designer,The Space design nasik,098901 59872,,4.9,16.0,16,False,True
Nashik Road,physiotherapist,Relief Physiotherapy Clinic & Fitness Consultation,098193 89842,,5.0,16.0,16,False,True
Nashik Road,dentist,Dr. Kohli's Dental Care Clinic,088889 09461,,5.0,16.0,16,False,True
Nashik Road,physiotherapist,PHYSIO CARE PHYSIOTHERAPY CLINIC,075072 24973,,4.9,16.0,16,False,True
Nashik Road,physiotherapist,Spine Physiotherapy Clinic,070303 19263,,4.8,15.0,15,False,True
Nashik Road,bridal makeup studio,Salma'z Makeup studio,090232 35890,,5.0,15.0,15,False,True
Nashik Road,dentist,Gurudev Dental Clinic,0253 241 0074,,5.0,15.0,15,False,True
Nashik Road,dentist,MARATHI LOKSEVA TRUST - NASHIKROAD DENTAL CLINIC,089568 88100,,5.0,15.0,15,False,True
Nashik Road,physiotherapist,RehabNest Physiotherapy Clinic,086691 91616,,4.9,14.0,14,False,True
Nashik Road,homeopathy clinic,Dr. Sachin Sethi Feelings Clinic,076668 35900,,5.0,14.0,14,False,True
Nashik Road,homeopathy clinic,Dr. Khot Sanjeevani Homoeopathy Clinic,095952 16183,,5.0,13.0,13,False,True
Nashik Road,homeopathy clinic,Dr. Sanket's Parshva HomoeoCare | Homoeopathy Clinic,091750 91771,,4.8,13.0,13,False,True
Nashik Road,bridal makeup studio,Roopali Makeup Studio & Academy,090211 21130,,4.7,13.0,13,False,True
Nashik Road,homeopathy clinic,Dr. Kalyani's Sai Homoeopathic Clinic,092092 88429,,5.0,13.0,13,False,True
Nashik Road,veterinary clinic,Happy Pets Veterinary Clinic Nashik,091755 66290,,4.7,13.0,13,False,True
Nashik Road,dentist,Swara Multispeciality Dental Clinic,094047 83987,,5.0,12.0,12,False,True
Nashik Road,homeopathy clinic,Dr.Jaya's Arihant Homeopathic Clinic,095798 40646,,4.8,12.0,12,False,True
Nashik Road,homeopathy clinic,Gujrals Homeopathy Clinic,094203 63668,,4.4,12.0,12,False,True
Nashik Road,crossfit box,Revolution Running Core and Strength Studio,098904 89193,,5.0,12.0,12,False,True
Nashik Road,modular furniture studio,Elements Studio,093598 75954,,4.9,12.0,12,False,True
Nashik Road,boutique architect,STUDIO CRAFT architecture and design consultants,0253 234 4253,,4.6,12.0,12,False,True
Nashik Road,physiotherapist,PANACEA PHYSIOTHERAPY CLINIC,080871 86685,,4.6,10.0,10,False,True
Nashik Road,bridal makeup studio,MAKEOVER BEAUTY & MAKEUP STUDIO,083299 00832,,4.9,10.0,10,False,True
Nashik Road,tattoo studio,Rudra Tattooz Studio Nashik,086008 33982,,4.6,9.0,9,False,True
Nashik Road,homeopathy clinic,Manas Homeopathic Clinic,099752 98499,,4.9,9.0,9,False,True
Nashik Road,dentist,Shri Sai Lokseva Trust Dental Clinic And Implant Centre,092700 48823,,4.9,9.0,9,False,True
Nashik Road,homeopathy clinic,Dr.RIMA PATEL'S LALITAA HEALING HOUSE (Homoeopathy and Lifestyle Clinic),091756 01418,,4.9,8.0,8,False,True
Nashik Road,bridal makeup studio,Stone makeup studio,098508 88121,,5.0,8.0,8,False,True
Nashik Road,designer boutique,"Aayat boutique, shop no. 2 Laxmi vihar complex, behind nirankari bhavan, govind nagar, nashik 422009",089563 17033,,4.5,8.0,8,False,True
Nashik Road,interior designer,Tatwa interior design studio -Interior Designer |Interior Decorator |Interior Designer Studio in Nashik,098508 79975,,5.0,8.0,8,False,True
Nashik Road,physiotherapist,LIVFULL - Physiotherapy clinic,083699 47878,,4.8,8.0,8,False,True
Nashik Road,bridal makeup studio,Ashlesha's Makeup Studio & Academy,075075 70189,,5.0,7.0,7,False,True
Nashik Road,dentist,Shree Ganesh Dental Clinic Dr. Dugad,093267 31651,,4.3,7.0,7,False,True
Nashik Road,chiropractor,Ayurved Health Clinic & Shopee,0253 402 4621,,5.0,7.0,7,False,True
Nashik Road,bridal makeup studio,Shree Beauty Hair Makeup Studio,091729 49747,,5.0,7.0,7,False,True
Nashik Road,crossfit box,The Muscle Studio,089992 97814,,5.0,7.0,7,False,True
Nashik Road,tattoo studio,Ink Strokes Tattoo & Art studio,095738 65795,,5.0,7.0,7,False,True
Nashik Road,tattoo studio,Naaz tattoo studio and beauty parlour,099109 23258,,5.0,7.0,7,False,True
Nashik Road,physiotherapist,Dr. Puri's Sparsh Advanced Physiotherapy Clinic And Rehabilitation Center,099308 73007,,5.0,6.0,6,False,True
Nashik Road,car detailing studio,Aarambha custom Auto Detailing & Washing Studio,089562 32087,,4.7,6.0,6,False,True
Nashik Road,boutique architect,AR Design Studio,088304 18041,,5.0,6.0,6,False,True
Nashik Road,dentist,Ekdant Dental Clinic,074052 28848,,4.8,6.0,6,False,True
Nashik Road,dentist,Shree Sai dental clinic,091584 56404,,5.0,6.0,6,False,True
Nashik Road,homeopathy clinic,"Best E Homeopathy and Ayurvedic clinic, Dr. Pandit’s Chaitanya life and health care clinic",070207 99394,,5.0,6.0,6,False,True
Nashik Road,dentist,CHINMAY DENTAL CLINIC,098502 22762,,4.8,5.0,5,False,True
Nashik Road,homeopathy clinic,Global Homeopathy Clinic,077740 33586,,5.0,5.0,5,False,True
Nashik Road,interior designer,Olive Green The Interior Designer Studio Nashik,086000 28601,,5.0,5.0,5,False,True
Nashik Road,designer boutique,Elegance Boutique,090218 55714,,4.6,5.0,5,False,True
Nashik Road,physiotherapist,Raphael Physiotherapy Clinic,081498 86324,,4.2,5.0,5,False,True
Nashik Road,dentist,"Grace Dental Clinic ( Teeth, Skin & Hair)",093560 72029,,5.0,4.0,4,False,True
Nashik Road,physiotherapist,Swasth physiotherapy clinic,082349 49366,,5.0,4.0,4,False,True
Nashik Road,homeopathy clinic,Nimina Homeopathy Clinic,097305 56717,,5.0,4.0,4,False,True
Nashik Road,homeopathy clinic,Dr Varsha Homeopathy Clinic Varsha K Wagh,098236 29696,,5.0,4.0,4,False,True
Nashik Road,homeopathy clinic,Godiwala homoeopathic clinic - Best Doctor for Skin & Chronic Disease in Nashik,073919 81753,,4.0,4.0,4,False,True
Nashik Road,physiotherapist,Cure physiotherapy clinic,086699 41239,,4.8,4.0,4,False,True
Nashik Road,premium salon,Luxurious Hair &Beauty Unisex Salon!Makeup studio,095796 21040,,4.7,3.0,3,False,True
Nashik Road,physiotherapist,VARADHAST Holistic Health Clinic,098908 20015,,5.0,3.0,3,False,True
Nashik Road,dentist,dr.marathes dental clinic,0253 243 8999,,5.0,3.0,3,False,True
Nashik Road,unisex salon,Priti's Beauty Studio,094210 43901,,5.0,3.0,3,False,True
Nashik Road,veterinary clinic,Gajanan Pet Clinic,099221 23099,,5.0,3.0,3,False,True
Nashik Road,tattoo studio,Vishal Tatto Studio,097665 02490,,5.0,3.0,3,False,True
Nashik Road,bridal makeup studio,PREMA'S MAKEUP STUDIO AND ACADEMY,079727 60530,,4.0,3.0,3,False,True
Nashik Road,dentist,Dr. Swapnil Marathe's Dental Clinic,0253 243 8999,,5.0,3.0,3,False,True
Nashik Road,dentist,Parkhe's Dental Clinic,096733 37633,,5.0,3.0,3,False,True
Nashik Road,premium bike modification,LAXMI AUTO AND SPARE,077093 16384,,5.0,2.0,2,False,True
Nashik Road,homeopathy clinic,Rajnish Homoeopathic Clinic,082374 03780,,5.0,2.0,2,False,True
Nashik Road,homeopathy clinic,Homeopathy Clinic,094202 27027,,5.0,2.0,2,False,True
Nashik Road,homeopathy clinic,"Dr.Prachi Chandratres Best Homoeopathic Clinic in Nashik , Best Homeopthy Doctor Nashik",076662 68361,,5.0,2.0,2,False,True
Nashik Road,dentist,Sai Dental Clinic,089561 68946,,5.0,2.0,2,False,True
Nashik Road,physiotherapist,Dr Priya's Physiotherapy Clinic,093735 78307,,5.0,2.0,2,False,True
Nashik Road,modular furniture studio,The furniture studio,094056 14118,,5.0,2.0,2,False,True
Nashik Road,designer boutique,JJ Boutique,080808 66143,,5.0,2.0,2,False,True
Nashik Road,car detailing studio,TURBO CAR WASH & DETAILING STUDIO,090218 04844,,5.0,2.0,2,False,True
Nashik Road,bridal makeup studio,Rutusmakeover & nail studio,094231 81319,,5.0,2.0,2,False,True
Nashik Road,dentist,Dr. Samir Dental Clinic,098906 34618,,5.0,1.0,1,False,True
Nashik Road,dentist,GREAT SMILES DENTAL CLINIC,094200 95303,,5.0,1.0,1,False,True
Nashik Road,dentist,Dental Clinic,099229 29525,,5.0,1.0,1,False,True
Nashik Road,tattoo studio,Unique Tattoo Studio,077980 86173,,4.0,1.0,1,False,True
Nashik Road,physiotherapist,physiotherapy clinic,079724 86754,,5.0,1.0,1,False,True
Nashik Road,physiotherapist,Re Active Physiotherapy and rehabilitation Clinic,093725 13513,,1.0,1.0,1,False,True
Nashik Road,homeopathy clinic,Datta Homoeopathic clinic,094215 41125,,5.0,1.0,1,False,True
Nashik Road,dentist,Rupvate's SMILE DENTAL CLINIC,088052 77823,,5.0,1.0,1,False,True
Nashik Road,dentist,Sundar Dental Clinic,077479 62799,,5.0,1.0,1,False,True
Nashik Road,dentist,Dental Clinic (दातांचा दवाखाना ),093253 88746,,5.0,1.0,1,False,True
Nashik Road,homeopathy clinic,The Sanvedna Homeopathy Clinic,083297 78740,,5.0,1.0,1,False,True
Nashik Road,homeopathy clinic,Dr. Wani's Super Specialty Homeopathy Clinic,098227 50441,,5.0,1.0,1,False,True
Nashik Road,designer boutique,SABA FASHION DESIGNER BOUTIQUE,097658 01824,,5.0,1.0,1,False,True
Nashik Road,bridal makeup studio,Makeover Beauty Studio,098582 75571,,5.0,1.0,1,False,True
Nashik Road,interior designer,MOSAIC DESIGN STUDIO,072761 18357,,5.0,1.0,1,False,True
Nashik Road,designer boutique,Arusha fashion and boutique,072190 39402,,5.0,1.0,1,False,True
Nashik Road,modular furniture studio,SN ART INTERIOR AND DESIGN STUDIO,099759 97737,,5.0,1.0,1,False,True
Nashik Road,physiotherapist,Aayushya Physiotherapy Clinic,090213 66342,,0.0,,0,False,True
Nashik Road,dentist,Shree Swami Samarth Dental Clinic,098906 34681,,0.0,,0,False,True
Nashik Road,dentist,DENTAL CLINIC,088054 10695,,0.0,,0,False,True
Nashik Road,homeopathy clinic,Sanjivani Clinic,099238 51756,,0.0,,0,False,True
Nashik Road,homeopathy clinic,SHASHWAT HOMEOPATHY CLINIC,094229 49900,,0.0,,0,False,True
Nashik Road,homeopathy clinic,Roushan Homeopathy Clinic,078744 44142,,0.0,,0,False,True
