Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count
Nashik Road,fine dining restaurant,Nandan Thali Restaurant,070306 46488,,4.2,711.0
Nashik Road,fine dining restaurant,Swadishta (Swad )Veg Restaurant,0253 241 8868,,3.6,682.0
Nashik Road,fine dining restaurant,Hotel Nashik Parivaar,088069 03360,,3.9,235.0
Nashik Road,fine dining restaurant,Barbeque Ville,083800 45222,,4.1,3446.0
Nashik Road,fine dining restaurant,Zaika By Treat Hotel,,,4.4,173.0
Nashik Road,fine dining restaurant,Sai Leela Family Restaurant & Snacks,098226 41888,,3.9,503.0
Nashik Road,fine dining restaurant,Hotel Dattakrupa (since 1982),080558 55219,,4.4,39.0
Nashik Road,fine dining restaurant,Jai Jagannath Restaurant,092704 69069,,3.9,993.0
Nashik Road,fine dining restaurant,Cafe Movd,089283 12807,,4.5,21.0
Nashik Road,fine dining restaurant,Kopa Kabana's,0253 231 7698,,3.9,471.0
Nashik Road,fine dining restaurant,🍴BHAGAT AHAR BHAWAN,092251 01323,,3.9,244.0
Nashik Road,fine dining restaurant,BEST MUTTON AND CHICKEN SHOP,096574 85654,,5.0,1.0
Nashik Road,fine dining restaurant,Badshah Hotel,077093 84000,,4.2,451.0
Nashik Road,fine dining restaurant,Best Catering Services Nashik by Shree Catering,086685 40866,,4.9,65.0
Nashik Road,fine dining restaurant,H M Kitchen - Best fast food,093726 42523,,5.0,5.0
Nashik Road,fine dining restaurant,Annapoorna hotel,099603 60855,,4.0,2281.0
Nashik Road,fine dining restaurant,Hotel Pavan,,,4.0,553.0
Nashik Road,fine dining restaurant,Vakratund Parsal Point,083088 62898,,3.9,61.0
Nashik Road,premium bakery,The Bakers Cake Shop,080076 54300,,4.8,160.0
Nashik Road,premium bakery,THE BAKE WORLD,098814 11205,,4.8,210.0
Nashik Road,premium bakery,Jayashree's BAKE and TAKE,075593 76698,,4.9,17.0
Nashik Road,premium bakery,Sweet Wonders,085304 26178,,4.7,84.0
Nashik Road,premium bakery,Yummy cake shop,099233 61946,,4.9,121.0
Nashik Road,premium bakery,Bangalore Iyangar Bakery,095610 61113,,4.2,41.0
Nashik Road,premium bakery,BANGALORE IYYANGAR BAKERY,077700 01330,,4.1,115.0
Nashik Road,premium bakery,Hello Bakers,098902 19555,,4.7,358.0
Nashik Road,premium bakery,Delicious Bakers,077700 77013,,4.9,182.0
Nashik Road,premium bakery,Royal Cake shop,072183 69686,,3.9,14.0
Nashik Road,premium bakery,Bakery Kingdom,090212 17430,,4.4,220.0
Nashik Road,premium bakery,CAKE factory,097306 36544,,4.5,41.0
Nashik Road,premium bakery,U2 Cake Shop - Narayan Bapu Chowk Jail Road,080071 59155,,5.0,9.0
Nashik Road,premium bakery,Cymbrella's The Bake Town,093099 27792,,4.0,5.0
Nashik Road,premium bakery,THE BAKE WORLD,,,4.9,53.0
Nashik Road,premium bakery,The Gopal Bakery,,,4.7,35.0
Nashik Road,premium bakery,SAARTHI BAKERY,087882 95632,,4.1,38.0
Nashik Road,premium bakery,Nandini Bakery,095294 54218,,5.0,22.0
Nashik Road,premium bakery,Bakerz Point,098223 92230,,4.1,291.0
Nashik Road,premium bakery,DEEPLAXMI BAKERS,090497 98782,,4.5,14.0
Nashik Road,premium bakery,NashikBakers - Online Cakes Shop in Nashik,099236 58222,,4.9,32.0
Nashik Road,premium bakery,Alaknanda Bakery,093560 32224,,4.2,53.0
Nashik Road,premium bakery,Royal Bakers,,,4.8,4.0
Nashik Road,premium bakery,Meghraj Bakery,098227 43130,,4.2,239.0
Nashik Road,premium bakery,"The Cake Tree (Bakery, Ice-Cream, Cafe and Snacks)",086989 21009,,4.7,313.0
Nashik Road,premium bakery,U2 cake - nashik,,,4.4,13.0
Nashik Road,premium bakery,Treat House Cakes & More,081808 88376,,4.8,41.0
Nashik Road,premium bakery,Morning Bakery,098222 64071,,4.0,27.0
Nashik Road,premium bakery,Campus Choice Bakers,0253 231 6341,,4.0,439.0
Nashik Road,premium bakery,Royal Bakers,092251 31076,,4.0,969.0
Nashik Road,premium bakery,El Dough - An artisanal bakehouse,089995 68216,,4.6,39.0
Nashik Road,premium bakery,GOPAL'S FOODS,,,4.3,499.0
Nashik Road,premium bakery,Luscious Layers,077220 82092,,4.2,2294.0
Nashik Road,premium bakery,The Pastry Place,075178 66329,,5.0,23.0
Nashik Road,premium bakery,Fresh-Up Bakery,096897 55531,,4.4,918.0
Nashik Road,premium bakery,Cymbrella's The Cake Shop,076665 09532,,4.8,113.0
Nashik Road,premium bakery,Rudrani cakes & pastries,,,4.7,223.0
Nashik Road,premium bakery,Tanuja's Cakes ( Home Baker's Nashik),094237 72091,,5.0,32.0
Nashik Road,premium bakery,The Cake Factory,088560 08143,,5.0,27.0
Nashik Road,premium bakery,Anvi's Cake House,070573 54504,,4.9,23.0
Nashik Road,premium bakery,The Flora Bakery,070835 17862,,5.0,8.0
Nashik Road,premium bakery,AN Baker's,,,5.0,17.0
Nashik Road,premium bakery,The Bake Studio,,,3.8,166.0
Nashik Road,premium bakery,A1 Bakery,099228 27288,,4.3,265.0
Nashik Road,premium bakery,RT Bakers & Confectionery,098603 65300,,4.3,706.0
Nashik Road,premium bakery,MORE BAKERS ( मोरे बेकर्स),098237 35375,,4.7,6.0
Nashik Road,premium bakery,Boss Bakery - Best Bakery in Nashik city 1 branch (2 gangapur road),077768 72806,,2.9,36.0
Nashik Road,premium bakery,Bunny's Bakers,,,4.8,43.0
Nashik Road,premium bakery,Miracle Bake Studio,096732 20593,,5.0,22.0
Nashik Road,premium bakery,U2 cake - Best cake in nashik,,,5.0,3.0
Nashik Road,premium bakery,Sweet Delight Cake Coffee gifts Shop,081495 55629,,4.1,52.0
Nashik Road,premium bakery,Surti Wafers,0253 251 0605,,4.5,102.0
Nashik Road,premium bakery,Creamy Creations Cakes,089990 01556,,5.0,12.0
Nashik Road,premium bakery,VM Celebrations,089280 04567,,3.2,130.0
Nashik Road,premium bakery,Cake Paradise,075076 47054,,4.8,24.0
Nashik Road,premium bakery,Bakeryy,,,5.0,1.0
Nashik Road,premium bakery,Elegant Bakers,088054 42599,,4.6,68.0
Nashik Road,premium bakery,"U2 Cake Jatra Hotel, Nashik",093222 14848,,4.1,10.0
Nashik Road,premium bakery,Cakeouflage,096735 65935,,4.6,27.0
Nashik Road,premium bakery,Suman enterprises Toccata cakes.,093597 70921,,5.0,6.0
Nashik Road,premium bakery,A One Bakers & Kirana Store,,,4.1,53.0
Nashik Road,premium bakery,Sharanya's cakes(homebaker),083808 53777,,5.0,18.0
Nashik Road,premium bakery,Lords Foods Products,,,4.1,162.0
Nashik Road,premium bakery,Bakers Craft,082086 47816,,3.8,65.0
Nashik Road,premium bakery,99 Pancakes,090211 85857,,4.1,400.0
Nashik Road,premium bakery,Shree Hinglajmata Bakery,098228 69643,,4.4,5.0
Nashik Road,premium bakery,New Fresh baker's,095791 56066,,3.7,3.0
Nashik Road,premium bakery,Celebration Baker's,098502 25446,,4.1,22.0
Nashik Road,premium bakery,Caking Delights,094051 83344,,4.9,130.0
Nashik Road,premium bakery,Bms Super Market,086055 06738,,3.9,764.0
Nashik Road,specialty coffee shop,Emporio Coffee Lounge (Best Coffee Shop at CCM),084828 16555,,4.8,210.0
Nashik Road,specialty coffee shop,SPECIALITY COFFEE HUB,,,4.6,13.0
Nashik Road,specialty coffee shop,Chai tapri Best cafe in Nasik,084848 29129,,3.9,779.0
Nashik Road,specialty coffee shop,Leo's cafe,,,5.0,11.0
Nashik Road,specialty coffee shop,Pokket cafe College Road,085303 68669,,4.6,630.0
Nashik Road,specialty coffee shop,Garam chaha and cafe,,,4.6,21.0
Nashik Road,specialty coffee shop,The Breakfast Story Cafe & Bistro,097673 63709,,4.6,474.0
Nashik Road,specialty coffee shop,Lucky'z Cafe,099703 49007,,5.0,4.0
Nashik Road,specialty coffee shop,Cafe Panchayat,088880 08368,,4.4,678.0
Nashik Road,specialty coffee shop,TRC The Reality Cafe,077374 51555,,4.7,292.0
Nashik Road,specialty coffee shop,Skylight Cafe,096373 40956,,4.6,135.0
Nashik Road,specialty coffee shop,Durga cafe and restaurent,,,4.9,10.0
Nashik Road,specialty coffee shop,Coffee Junction 24hrs,,,3.9,950.0
Nashik Road,specialty coffee shop,Nasik road,,,3.6,7.0
Nashik Road,specialty coffee shop,Café Kaifee CK,093718 63482,,4.1,51.0
Nashik Road,specialty coffee shop,Sippers Choice Chai Cafe,091756 66333,,3.8,1170.0
Nashik Road,specialty coffee shop,Cocoa N' crème,086050 62590,,5.0,17.0
Nashik Road,specialty coffee shop,Nashik Coffee House,0253 231 3226,,3.9,130.0
Nashik Road,specialty coffee shop,NAMO'S CAFE,080072 82966,,4.6,9.0
Nashik Road,specialty coffee shop,Cafe creme ashoka marg,088304 79331,,4.1,27.0
Nashik Road,specialty coffee shop,Emotion Cakes,,,4.8,34.0
Nashik Road,specialty coffee shop,Brown Heart Cafe,082007 37924,,4.9,7.0
Nashik Road,specialty coffee shop,Icchamani Amruttulya,086006 64672,,5.0,2.0
Nashik Road,specialty coffee shop,One Folk Cafe,,,4.0,24.0
Nashik Road,specialty coffee shop,Shethji Chaha Tea corner,,,4.4,5.0
Nashik Road,specialty coffee shop,White Pearl Cafe,,,,
Nashik Road,specialty coffee shop,Cafe Recess,,,4.4,19.0
Nashik Road,specialty coffee shop,Cafe' Xpress,097638 62139,,4.4,443.0
Nashik Road,specialty coffee shop,C 3 Cafe ( Formerly Cad B Nashik),097307 19391,,4.3,151.0
Nashik Road,specialty coffee shop,Rhythm & roast cafe,077982 71817,,,
Nashik Road,specialty coffee shop,Manjula Sweets,0253 241 4050,,4.2,395.0
Nashik Road,specialty coffee shop,Ankur Food's & Ice Cream Parlour,077700 00179,,4.7,10.0
Nashik Road,specialty coffee shop,Holy Bowl,099226 73344,,4.4,11.0
Nashik Road,specialty coffee shop,Oneness cafe,,,4.5,2.0
Nashik Road,specialty coffee shop,Sandy Baker's,092261 74444,,4.1,160.0
Nashik Road,specialty coffee shop,"Top n,Town Scoops and Smiles...",087669 73837,,4.8,28.0
Nashik Road,specialty coffee shop,Chai SHOTZ Cafe,,,5.0,6.0
Nashik Road,specialty coffee shop,Stamping Ground,095031 41111,,4.1,1097.0
Nashik Road,specialty coffee shop,Adarsh Amruttulya,,,3.8,6.0
Nashik Road,specialty coffee shop,Coffee Hub,073042 09489,,3.9,35.0
Nashik Road,specialty coffee shop,NASHIK BAKERS-FAMOUS BEKARY,092471 71717,,5.0,7.0
Nashik Road,specialty coffee shop,Muscle Meal,095799 53981,,5.0,35.0
Nashik Road,specialty coffee shop,The Nashik Cafe,,,5.0,2.0
Nashik Road,specialty coffee shop,Samadhan Sweets and Dairy farm,077989 04554,,4.2,47.0
Nashik Road,specialty coffee shop,Shree Ram Rabadiwala(Main Branch),088882 18284,,4.6,17.0
Nashik Road,dentist,Dr. Karwa's Dental Clinic,097667 85740,,4.9,65.0
Nashik Road,dentist,GURU Dental Clinic,099220 08188,,4.9,371.0
Nashik Road,dentist,Smile Dental Clinic,,,4.3,6.0
Nashik Road,dentist,Super Speciality Dental and Implant Center,098116 24947,,4.7,26.0
Nashik Road,dentist,Dr Pandit's Multispeciality Dental Clinic,,,5.0,25.0
Nashik Road,dentist,Dr.Ashutosh Shirsath,0253 246 0517,,5.0,79.0
Nashik Road,dentist,Family Dental Care,091759 51978,,5.0,75.0
Nashik Road,dentist,Big Smile,,,4.5,15.0
Nashik Road,dentist,Bhushan Sonawane's Mauli Clinic,094204 57020,,3.9,20.0
Nashik Road,dentist,Dr.Sharan's Dental Clinic,075887 04158,,4.9,17.0
Nashik Road,dentist,Dr.Pravin Wagh Dental Clinic.,,,5.0,16.0
Nashik Road,dentist,Dental Studio - Smiles And More...,091682 74005,,2.7,46.0
Nashik Road,dentist,Ekdant Dental Clinic,,,5.0,7.0
Nashik Road,dentist,CHINMAY DENTAL CLINIC,098502 22762,,4.8,5.0
Nashik Road,dentist,Root Care,073490 52235,,5.0,11.0
Nashik Road,dentist,Ekdant Dental Clinic,074052 28848,,4.8,6.0
Nashik Road,dentist,H. K. Lamba ( Rekhi ) Dental Clinic,,,4.5,19.0
Nashik Road,dentist,Dantpratibha Dental Clinic/ दंतप्रतिभा दंतसुश्रुषा केंद्र,,,5.0,54.0
Nashik Road,dentist,Gurumauli Dental Clinic,,,4.4,5.0
