Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count
Nashik,fine dining restaurant,HOTEL AL-AZIM: Best restaurant in nashik,090962 68456,,3.9,352.0
Nashik,fine dining restaurant,"The Zaffran Restaurant, Nashik",076668 88365,,4.1,265.0
Nashik,fine dining restaurant,The_Eateria by Metkar's (Family Restaurant),078755 92221,,4.6,330.0
Nashik,fine dining restaurant,GPS 99 RESTAURANT,086691 10119,,4.0,937.0
Nashik,fine dining restaurant,The Machan's Nature's Bliss | Veg / Non-Veg Restaurant in Nashik | Famous restaurants in Nashik,078210 04239,,3.9,289.0
Nashik,fine dining restaurant,Udupi Tadka Gokul Pure Veg Restaurant Nashik,094057 68388,,4.2,6635.0
Nashik,fine dining restaurant,"Cloud Aroma (best Burgers, Sandwiches & Wraps)",086003 93171,,4.9,111.0
Nashik,fine dining restaurant,Hotel Mazda & Cafe - Best Cafe in Nashik| Family Restaurant in Nashik| Multicusion Restaurant in Nashik,085303 92333,,4.3,541.0
Nashik,fine dining restaurant,Shagun Dining Hall,0253 258 2555,,4.1,4106.0
Nashik,fine dining restaurant,Hakka Tikka,090282 75522,,4.1,296.0
Nashik,fine dining restaurant,C Bhagat Tarachand,074988 55154,,4.3,1153.0
Nashik,fine dining restaurant,GRILL CRAFT CO.,0788 788 6688,,4.1,136.0
Nashik,fine dining restaurant,Garam Masala,,,4.8,17.0
Nashik,fine dining restaurant,Royal foods restaurant,,,4.8,41.0
Nashik,fine dining restaurant,Shilpa Dining Hall,099226 62255,,4.1,4032.0
Nashik,fine dining restaurant,Barbeque Ville,083800 45222,,4.1,3446.0
Nashik,fine dining restaurant,Zaika By Treat Hotel,,,4.4,173.0
Nashik,fine dining restaurant,Vitthals Pure Veg Restaurant,088068 58006,,4.5,145.0
Nashik,fine dining restaurant,Samarkand Restaurant,0253 232 5000,,4.2,413.0
Nashik,fine dining restaurant,Chaska Maska Veg Restaurant,093074 02293,,4.1,441.0
Nashik,fine dining restaurant,Shamsundar Misal - Ashok Stambh Branch,073500 61651,,4.3,911.0
Nashik,fine dining restaurant,"Curry Leaves Pure Veg , Jehan Circle",077220 15994,,4.3,10444.0
Nashik,fine dining restaurant,Veg Aroma,083800 32373,,4.0,7158.0
Nashik,fine dining restaurant,"Big Daddy's | Best Coffee , Burgers & Waffles",082378 22783,,4.8,69.0
Nashik,fine dining restaurant,Baadshah Tandoor,084465 71792,,4.2,122.0
Nashik,fine dining restaurant,Udupi Restaurant,0253 250 5037,,4.0,405.0
Nashik,fine dining restaurant,Hotel Durga © | हॉटेल दुर्गा © | Fast Food Pure Veg Restaurant | Best Cafe in Nashik,096652 08277,,4.5,2346.0
Nashik,fine dining restaurant,Le Garlic Family Restaurant,076209 19019,,3.6,472.0
Nashik,fine dining restaurant,Maharashtra Darbar House of Biryani,077220 88922,,4.1,1761.0
Nashik,fine dining restaurant,Jayesh khanawal -Non Veg Family Restaurant |Top Restaurant in Amrutdham |Veg & Non Veg Family Restaurant Nashik,099223 02998,,3.9,121.0
Nashik,fine dining restaurant,Lords Punjab Restaurants & Bar,,,3.8,26.0
Nashik,fine dining restaurant,Divtya budhlya machi,098222 90599,,3.8,2156.0
Nashik,fine dining restaurant,FUSION Indo-chinese restaurant,093735 61242,,4.5,30.0
Nashik,fine dining restaurant,Jai Jagannath Restaurant,092704 69069,,3.9,993.0
Nashik,fine dining restaurant,MY UDUPI SPICE,,,4.2,599.0
Nashik,fine dining restaurant,Bagga Sweets,093727 20898,,4.2,4351.0
Nashik,fine dining restaurant,Shafi Pahelwan's Chote Miya,098220 87709,,4.2,286.0
Nashik,premium bakery,NashikBakers - Online Cakes Shop in Nashik,099236 58222,,4.9,32.0
Nashik,premium bakery,Delicious Bakers,077700 77013,,4.9,182.0
Nashik,premium bakery,Cymbrella's The Cake Shop,076665 09532,,4.8,113.0
Nashik,premium bakery,The Baker's Emporium & Cafe,073503 94716,,4.7,50.0
Nashik,premium bakery,Hello Bakers,098902 19555,,4.7,358.0
Nashik,premium bakery,Salar Bakery,092730 37071,,4.3,369.0
Nashik,premium bakery,Royal Bakers,,,4.1,18.0
Nashik,premium bakery,Creamy Creations Cakes,089990 01556,,5.0,12.0
Nashik,premium bakery,Bakery Kingdom,090212 17430,,4.4,220.0
Nashik,premium bakery,Bakerz Point,098223 92230,,4.1,291.0
Nashik,premium bakery,Anvi's Cake House,070573 54504,,4.9,23.0
Nashik,premium bakery,Meghraj Bakery,098227 43130,,4.2,239.0
Nashik,premium bakery,Treat House Cakes & More,081808 88376,,4.8,41.0
Nashik,premium bakery,THE BAKE WORLD,,,4.9,53.0
Nashik,premium bakery,The Bakers Cake Shop,080076 54300,,4.8,160.0
Nashik,premium bakery,El Dough - An artisanal bakehouse,089995 68216,,4.6,39.0
Nashik,premium bakery,CAKE FACTORY,097661 78747,,4.6,144.0
Nashik,premium bakery,Breads n cakes,080079 81313,,4.8,76.0
Nashik,premium bakery,The Bake Studio,,,3.8,166.0
Nashik,premium bakery,Nandini Bakery,095294 54218,,5.0,22.0
Nashik,premium bakery,THE BAKE WORLD,098814 11205,,4.8,210.0
Nashik,premium bakery,Luscious Layers,077220 82092,,4.2,2294.0
Nashik,premium bakery,Suman enterprises Toccata cakes.,093597 70921,,5.0,6.0
Nashik,premium bakery,Yummy cake shop,099233 61946,,4.9,121.0
Nashik,premium bakery,Campus Choice Bakers,0253 231 6341,,4.0,439.0
Nashik,premium bakery,Fresh-Up Bakery,096897 55531,,4.4,918.0
Nashik,premium bakery,Cakest,070836 57566,,5.0,25.0
